Areas,Diameters,Counts,Energy,Energy Difference,Limited Diameter,Limited Counts,Limited Energy,Limited Energy Difference,dN_dE,dN_dE_sr_s
4.022083355,2.262979359,1,4.632121563,0.027093479,2.834078819,1,4.43735567,0.006619079,151.0784227,688525.2857
4.149096513,2.298432891,1,4.605028084,0.008190507,NaN,NaN,NaN,NaN,NaN,NaN
4.191434233,2.310129826,1,4.596837578,0.007806777,NaN,NaN,NaN,NaN,NaN,NaN
4.233771952,2.321767834,1,4.589030801,0.027773642,NaN,NaN,NaN,NaN,NaN,NaN
4.40312283,2.367747898,1,4.561257159,0.006166589,NaN,NaN,NaN,NaN,NaN,NaN
4.44546055,2.379104068,1,4.55509057,0.074290325,NaN,NaN,NaN,NaN,NaN,NaN
5.207539501,2.574965092,1,4.480800245,0.023951373,NaN,NaN,NaN,NaN,NaN,NaN
5.673254416,2.687640577,1,4.456848872,0.013030886,NaN,NaN,NaN,NaN,NaN,NaN
6.054293892,2.776430514,2,4.443817986,0.006462316,NaN,NaN,NaN,NaN,NaN,NaN
6.308320209,2.834078819,1,4.43735567,0.006619079,NaN,NaN,NaN,NaN,NaN,NaN
6.647021965,2.909166757,1,4.430736591,0.006619079,NaN,NaN,NaN,NaN,NaN,NaN
,,92,,,,80,,,,
