Areas,Diameters,Counts,Energy,Energy Difference,Limited Diameter,Limited Counts,Limited Energy,Limited Energy Difference,dN_dE,dN_dE_sr_s
1.01610526850582,1.13742929867106,4,18.1264618040153,1.32556237463084,1.4866567888567,1,6.69066239299961,0.274755257751923,3.63960278024198,1591002.58536506
1.05844298802689,1.16088391676493,2,16.8008994293845,1.18948954382683,1.50467752910112,1,6.41590713524769,0.253828963527279,3.93966073100452,1722168.81537624
1.10078070754797,1.18387394892008,2,15.6114098855576,1.07011921368748,1.52248498360739,1,6.16207817172041,0.65353420629151,1.53014178963105,668880.55930001
1.14311842706904,1.20642595531585,3,14.5412906718702,0.96504186423579,1.57469955912054,3,5.5085439654289,0.360394849270074,8.32420331776675,3638811.65042708
1.18545614659012,1.22856405790984,1,13.5762488076344,0.872249257370431,1.60856794042114,1,5.14814911615883,0.161281059291388,6.20035610129081,2710400.88245065
1.2277938661112,1.25031024274619,4,12.7039995502639,0.790058583836135,1.6252374834709,1,4.98686805686744,0.289726795404674,3.45152749369714,1508788.04570142
1.27013158563227,1.2716846157142,2,11.9139409664278,1.3690849239296,1.65807388108465,1,4.69714126146277,0.13017128967431,7.68218554569145,3358162.36068393
1.35480702467442,1.31339022354381,2,10.5448560424982,0.593978435730776,1.67425059470297,2,4.56696997178846,0.234699761442193,8.52152549159112,3725068.34041773
1.3971447441955,1.33375407704292,3,9.95087760676743,0.542021422451043,1.70614394800659,2,4.33227021034626,0.105828245841137,18.8985462633697,8261241.06946181
1.43948246371657,1.35381165483118,2,9.40885618431639,2.09739509540629,1.72186910944115,1,4.22644196450513,0.191447433799979,5.22336591382458,2283322.98192445
1.65117106132195,1.44994354731398,1,7.3114610889101,0.620798695910484,1.75289627402877,1,4.03499453070515,0.086609233094272,11.5461130906392,5047225.44939453
1.7358465003641,1.4866567888567,1,6.69066239299961,0.274755257751923,1.76820570246566,3,3.94838529761087,0.0811238136490036,36.9805099767625,16165524.2436198
1.77818421988518,1.50467752910112,1,6.41590713524769,0.253828963527279,1.7833837122056,4,3.86726148396187,0.0760356092058712,52.6069303813921,22996400.2388607
1.82052193940626,1.52248498360739,1,6.16207817172041,0.65353420629151,1.79843363060425,1,3.791225874756,0.071311975905453,14.0228900868744,6129914.64442828
1.94753509796948,1.57469955912054,3,5.5085439654289,0.360394849270074,1.81335864693571,4,3.71991389885055,0.0669232893007914,59.7699252650557,26127605.5013503
2.03221053701163,1.60856794042114,1,5.14814911615883,0.161281059291388,1.82816182028415,1,3.65299060954976,0.121888153994259,8.20424271949431,3586372.51530237
2.07454825653271,1.6252374834709,1,4.98686805686744,0.289726795404674,1.85741426682389,3,3.5311024555555,0.0555096568067444,54.0446504730597,23624879.9167233
2.15922369557486,1.65807388108465,1,4.69714126146277,0.13017128967431,1.87186907056265,4,3.47559279874875,0.0522147104219788,76.6067640263361,33487599.3292456
2.20156141509594,1.67425059470297,2,4.56696997178846,0.234699761442193,1.8862131046245,4,3.42337808832677,0.0491421286511811,81.3965554563715,35581391.154528
2.28623685413809,1.70614394800659,2,4.33227021034626,0.105828245841137,1.90044887718279,11,3.37423595967559,0.0462749608551509,237.70954738205,103911478.061256
2.32857457365916,1.72186910944115,1,4.22644196450513,0.191447433799979,1.91457880316102,7,3.32796099882044,0.0435977051105478,160.558909746524,70186131.8209925
2.41325001270132,1.75289627402877,1,4.03499453070515,0.086609233094272,1.92860520901547,6,3.28436329370989,0.0410961704659734,145.999005064665,63821468.589813
2.45558773222239,1.76820570246566,3,3.94838529761087,0.0811238136490036,1.94253033720706,8,3.24326712324392,0.038757353655388,206.412441652549,90230376.2661943
2.49792545174347,1.7833837122056,4,3.86726148396187,0.0760356092058712,1.95635635038658,14,3.20450976958853,0.0365693286062085,382.834482709731,167350859.018077
2.54026317126454,1.79843363060425,1,3.791225874756,0.071311975905453,1.97008533531572,6,3.16794044098232,0.0345211472874869,173.806506198444,75977137.4547111
2.58260089078562,1.81335864693571,4,3.71991389885055,0.0669232893007914,1.98371930654369,9,3.13341929369484,0.0326027506234938,276.050327898239,120671625.970066
2.62493861030669,1.82816182028415,1,3.65299060954976,0.121888153994259,1.99726020985807,14,3.10081654307134,0.0308048883538663,454.47332381722,198666798.777579
2.70961404934885,1.85741426682389,3,3.5311024555555,0.0555096568067444,2.01070992552642,15,3.07001165471748,0.0291190468567839,515.12675101539,225180615.067477
2.75195176886992,1.87186907056265,4,3.47559279874875,0.0522147104219788,2.02407027134401,17,3.04089260786069,0.027537384069146,617.342589888468,269862871.272786
2.794289488391,1.8862131046245,4,3.42337808832677,0.0491421286511811,2.03734300550171,12,3.01335522379155,0.0260526707401887,460.605368243067,201347338.145242
2.83662720791207,1.90044887718279,11,3.37423595967559,0.0462749608551509,2.05052982928678,20,2.98730255305136,0.0246582373442581,811.087983328913,354556020.629548
2.87896492743315,1.91457880316102,7,3.32796099882044,0.0435977051105478,2.0636323896283,23,2.9626443157071,0.0233479260564606,985.0982029145,430622208.605754
2.92130264695422,1.92860520901547,6,3.28436329370989,0.0410961704659734,2.07665228149807,28,2.93929638965064,0.0221160472632347,1266.04902163266,553436017.125625
2.9636403664753,1.94253033720706,8,3.24326712324392,0.038757353655388,2.08959105017688,27,2.9171803423874,0.0209573401396481,1288.33143042423,563176467.42641
3.00597808599638,1.95635635038658,14,3.20450976958853,0.0365693286062085,2.10245019339518,30,2.89622300224776,0.0198669368778019,1510.0465756007,660096211.280132
